plate_deck_loc,well,sample_id,name,volume,composition,recipe,order_mixing
10,A1,1,BNa40,175,"{'KCl': 200.0, 'KP': 100.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 40.0, 'water': 0}","{'KCl': 8.75, 'KP': 35.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 7.0, 'water': 124.25}","['water', 'KCl', 'KP', 'NH4OH', 'NaHCO3', 'BSA', 'PEG']"
10,A2,2,BNa80,175,"{'KCl': 200.0, 'KP': 100.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 80.0, 'water': 0}","{'KCl': 8.75, 'KP': 35.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 14.0, 'water': 117.25}","['water', 'KCl', 'KP', 'NH4OH', 'NaHCO3', 'BSA', 'PEG']"
10,A3,3,FNa80,175,"{'KCl': 200.0, 'KP': 100.0, 'BSA': 10.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 80.0, 'water': 0}","{'KCl': 8.75, 'KP': 35.0, 'BSA': 5.775577557755776, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 14.0, 'water': 111.47442244224422}","['water', 'KCl', 'KP', 'NH4OH', 'NaHCO3', 'BSA', 'PEG']"
10,A4,4,BNa80,175,"{'KCl': 200.0, 'KP': 100.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 80.0, 'water': 0}","{'KCl': 8.75, 'KP': 35.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 14.0, 'water': 117.25}","['water', 'KCl', 'KP', 'NH4OH', 'NaHCO3', 'BSA', 'PEG']"
10,A5,5,SNa80_1,175,"{'KCl': 200.0, 'KP': 100.0, 'BSA': 100.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 80.0, 'water': 0}","{'KCl': 8.75, 'KP': 35.0, 'BSA': 57.755775577557756, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 14.0, 'water': 59.494224422442244}","['water', 'KCl', 'KP', 'NH4OH', 'NaHCO3', 'BSA', 'PEG']"
10,A6,6,BNa80,175,"{'KCl': 200.0, 'KP': 100.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 80.0, 'water': 0}","{'KCl': 8.75, 'KP': 35.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 14.0, 'water': 117.25}","['water', 'KCl', 'KP', 'NH4OH', 'NaHCO3', 'BSA', 'PEG']"
10,A7,7,SNa80_2,175,"{'KCl': 200.0, 'KP': 100.0, 'BSA': 125.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 80.0, 'water': 0}","{'KCl': 8.75, 'KP': 35.0, 'BSA': 72.1947194719472, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 14.0, 'water': 45.055280528052805}","['water', 'KCl', 'KP', 'NH4OH', 'NaHCO3', 'BSA', 'PEG']"
10,A8,8,BNa80,175,"{'KCl': 200.0, 'KP': 100.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 80.0, 'water': 0}","{'KCl': 8.75, 'KP': 35.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 14.0, 'water': 117.25}","['water', 'KCl', 'KP', 'NH4OH', 'NaHCO3', 'BSA', 'PEG']"
10,A9,9,SNa80_3,175,"{'KCl': 200.0, 'KP': 100.0, 'BSA': 150.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 80.0, 'water': 0}","{'KCl': 8.75, 'KP': 35.0, 'BSA': 86.63366336633663, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 14.0, 'water': 30.616336633663366}","['water', 'KCl', 'KP', 'NH4OH', 'NaHCO3', 'BSA', 'PEG']"
10,A10,10,BNa80,175,"{'KCl': 200.0, 'KP': 100.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 80.0, 'water': 0}","{'KCl': 8.75, 'KP': 35.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 14.0, 'water': 117.25}","['water', 'KCl', 'KP', 'NH4OH', 'NaHCO3', 'BSA', 'PEG']"
10,A11,11,SNa80_4,175,"{'KCl': 200.0, 'KP': 100.0, 'BSA': 165.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 80.0, 'water': 0}","{'KCl': 8.75, 'KP': 35.0, 'BSA': 95.29702970297029, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 14.0, 'water': 21.952970297029708}","['water', 'KCl', 'KP', 'NH4OH', 'NaHCO3', 'BSA', 'PEG']"
10,A12,12,BNa80,175,"{'KCl': 200.0, 'KP': 100.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 80.0, 'water': 0}","{'KCl': 8.75, 'KP': 35.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 14.0, 'water': 117.25}","['water', 'KCl', 'KP', 'NH4OH', 'NaHCO3', 'BSA', 'PEG']"
10,B1,13,BNa120,175,"{'KCl': 200.0, 'KP': 100.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 120.0, 'water': 0}","{'KCl': 8.75, 'KP': 35.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 21.0, 'water': 110.25}","['water', 'KCl', 'KP', 'NH4OH', 'NaHCO3', 'BSA', 'PEG']"
10,B2,14,FNa120,175,"{'KCl': 200.0, 'KP': 100.0, 'BSA': 10.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 120.0, 'water': 0}","{'KCl': 8.75, 'KP': 35.0, 'BSA': 5.775577557755776, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 21.0, 'water': 104.47442244224422}","['water', 'KCl', 'KP', 'NH4OH', 'NaHCO3', 'BSA', 'PEG']"
10,B3,15,BNa120,175,"{'KCl': 200.0, 'KP': 100.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 120.0, 'water': 0}","{'KCl': 8.75, 'KP': 35.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 21.0, 'water': 110.25}","['water', 'KCl', 'KP', 'NH4OH', 'NaHCO3', 'BSA', 'PEG']"
10,B4,16,SNa120_1,175,"{'KCl': 200.0, 'KP': 100.0, 'BSA': 100.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 120.0, 'water': 0}","{'KCl': 8.75, 'KP': 35.0, 'BSA': 57.755775577557756, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 21.0, 'water': 52.494224422442244}","['water', 'KCl', 'KP', 'NH4OH', 'NaHCO3', 'BSA', 'PEG']"
10,B5,17,BNa120,175,"{'KCl': 200.0, 'KP': 100.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 120.0, 'water': 0}","{'KCl': 8.75, 'KP': 35.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 21.0, 'water': 110.25}","['water', 'KCl', 'KP', 'NH4OH', 'NaHCO3', 'BSA', 'PEG']"
10,B6,18,SNa120_2,175,"{'KCl': 200.0, 'KP': 100.0, 'BSA': 125.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 120.0, 'water': 0}","{'KCl': 8.75, 'KP': 35.0, 'BSA': 72.1947194719472, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 21.0, 'water': 38.055280528052805}","['water', 'KCl', 'KP', 'NH4OH', 'NaHCO3', 'BSA', 'PEG']"
10,B7,19,BNa120,175,"{'KCl': 200.0, 'KP': 100.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 120.0, 'water': 0}","{'KCl': 8.75, 'KP': 35.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 21.0, 'water': 110.25}","['water', 'KCl', 'KP', 'NH4OH', 'NaHCO3', 'BSA', 'PEG']"
10,B8,20,SNa120_3,175,"{'KCl': 200.0, 'KP': 100.0, 'BSA': 150.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 120.0, 'water': 0}","{'KCl': 8.75, 'KP': 35.0, 'BSA': 86.63366336633663, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 21.0, 'water': 23.616336633663366}","['water', 'KCl', 'KP', 'NH4OH', 'NaHCO3', 'BSA', 'PEG']"
10,B9,21,BNa120,175,"{'KCl': 200.0, 'KP': 100.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 120.0, 'water': 0}","{'KCl': 8.75, 'KP': 35.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 21.0, 'water': 110.25}","['water', 'KCl', 'KP', 'NH4OH', 'NaHCO3', 'BSA', 'PEG']"
10,B10,22,SNa120_4,175,"{'KCl': 200.0, 'KP': 100.0, 'BSA': 165.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 120.0, 'water': 0}","{'KCl': 8.75, 'KP': 35.0, 'BSA': 95.29702970297029, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 21.0, 'water': 14.952970297029708}","['water', 'KCl', 'KP', 'NH4OH', 'NaHCO3', 'BSA', 'PEG']"
