plate_deck_loc,well,sample_id,name,volume,composition,recipe,order_mixing
10,A1,1,fus_buffer_NaCl_100mM_variation_000_prep,120,"{'fus': 1.7966666666666666, 'fus_buffer': 50.0, 'water': 0, 'NaCl': 100}","{'fus': 4.0, 'fus_buffer': 18.000000000000018, 'NaCl': 6.0, 'water': 91.99999999999999}","['fus', ['fus_buffer', 'NaCl', 'water']]"
10,A2,1,fus_buffer_NaCl_100mM_variation_000,120,"{'fus': 1.7966666666666666, 'fus_buffer': 50.0, 'water': 0, 'NaCl': 100}","{'fus': 4.0, 'fus_buffer': 18.000000000000018, 'NaCl': 6.0, 'water': 91.99999999999999}","['fus', ['fus_buffer', 'NaCl', 'water']]"
10,A3,2,fus_buffer_NaCl_100mM_variation_001_prep,120,"{'fus': 1.3475, 'fus_buffer': 50.0, 'water': 0, 'NaCl': 100}","{'fus': 3.0, 'fus_buffer': 18.000000000000018, 'NaCl': 6.0, 'water': 92.99999999999999}","['fus', ['fus_buffer', 'NaCl', 'water']]"
10,A4,2,fus_buffer_NaCl_100mM_variation_001,120,"{'fus': 1.3475, 'fus_buffer': 50.0, 'water': 0, 'NaCl': 100}","{'fus': 3.0, 'fus_buffer': 18.000000000000018, 'NaCl': 6.0, 'water': 92.99999999999999}","['fus', ['fus_buffer', 'NaCl', 'water']]"
10,A5,3,fus_buffer_NaCl_100mM_variation_002_prep,120,"{'fus': 1.078, 'fus_buffer': 50.0, 'water': 0, 'NaCl': 100}","{'fus': 2.4000000000000004, 'fus_buffer': 18.000000000000018, 'NaCl': 6.0, 'water': 93.59999999999998}","['fus', ['fus_buffer', 'NaCl', 'water']]"
10,A6,3,fus_buffer_NaCl_100mM_variation_002,120,"{'fus': 1.078, 'fus_buffer': 50.0, 'water': 0, 'NaCl': 100}","{'fus': 2.4000000000000004, 'fus_buffer': 18.000000000000018, 'NaCl': 6.0, 'water': 93.59999999999998}","['fus', ['fus_buffer', 'NaCl', 'water']]"
10,A7,4,fus_buffer_NaCl_100mM_variation_003_prep,120,"{'fus': 0.8983333333333333, 'fus_buffer': 50.0, 'water': 0, 'NaCl': 100}","{'fus': 2.0, 'fus_buffer': 18.000000000000018, 'NaCl': 6.0, 'water': 93.99999999999999}","['fus', ['fus_buffer', 'NaCl', 'water']]"
10,A8,4,fus_buffer_NaCl_100mM_variation_003,120,"{'fus': 0.8983333333333333, 'fus_buffer': 50.0, 'water': 0, 'NaCl': 100}","{'fus': 2.0, 'fus_buffer': 18.000000000000018, 'NaCl': 6.0, 'water': 93.99999999999999}","['fus', ['fus_buffer', 'NaCl', 'water']]"
10,A9,5,fus_fus_2_variation_000_prep,120,"{'fus': 0.44916666666666666, 'fus_buffer': 50.0, 'water': 0}","{'fus': 1.0, 'fus_buffer': 18.000000000000018, 'water': 100.99999999999999}","['fus', ['fus_buffer', 'water']]"
10,A10,5,fus_fus_2_variation_000,120,"{'fus': 0.44916666666666666, 'fus_buffer': 50.0, 'water': 0}","{'fus': 1.0, 'fus_buffer': 18.000000000000018, 'water': 100.99999999999999}","['fus', ['fus_buffer', 'water']]"
10,A11,6,fus_NaI_variation_000_prep,120,"{'fus': 1.3475, 'fus_buffer': 50.0, 'NaI': 0, 'water': 0}","{'fus': 3.0, 'fus_buffer': 18.000000000000018, 'NaI': 0.0, 'water': 98.99999999999999}","['fus', ['NaI', 'fus_buffer', 'water']]"
10,A12,6,fus_NaI_variation_000,120,"{'fus': 1.3475, 'fus_buffer': 50.0, 'NaI': 0, 'water': 0}","{'fus': 3.0, 'fus_buffer': 18.000000000000018, 'NaI': 0.0, 'water': 98.99999999999999}","['fus', ['NaI', 'fus_buffer', 'water']]"
10,B1,7,fus_NaI_variation_001_prep,120,"{'fus': 1.3475, 'fus_buffer': 50.0, 'NaI': 50, 'water': 0}","{'fus': 3.0, 'fus_buffer': 18.000000000000018, 'NaI': 12.0, 'water': 86.99999999999999}","['fus', ['NaI', 'fus_buffer', 'water']]"
10,B2,7,fus_NaI_variation_001,120,"{'fus': 1.3475, 'fus_buffer': 50.0, 'NaI': 50, 'water': 0}","{'fus': 3.0, 'fus_buffer': 18.000000000000018, 'NaI': 12.0, 'water': 86.99999999999999}","['fus', ['NaI', 'fus_buffer', 'water']]"
