plate_deck_loc,well,sample_id,name,volume,composition,recipe,order_mixing
10,A1,1,bsa_peg_ProArgGlu_x000010_variation_000,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 0.0, 'Arginine': 0.0, 'Glutamic_acid': 0.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 0.0, 'Arginine': 0.0, 'Glutamic_acid': 0.0, 'water': 64.52395209580838}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,A2,2,bsa_peg_ProArgGlu_x000010_variation_001,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 0.0, 'Arginine': 0.0, 'Glutamic_acid': 10.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 0.0, 'Arginine': 0.0, 'Glutamic_acid': 22.727272727272727, 'water': 41.79667936853565}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,A3,3,bsa_peg_ProArgGlu_x000010_variation_002,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 0.0, 'Arginine': 0.0, 'Glutamic_acid': 20.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 0.0, 'Arginine': 0.0, 'Glutamic_acid': 45.45454545454545, 'water': 19.06940664126293}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,A4,4,bsa_peg_ProArgGlu_x000010_variation_003,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 0.0, 'Arginine': 0.0, 'Glutamic_acid': 30.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 0.0, 'Arginine': 0.0, 'Glutamic_acid': 68.18181818181819, 'water': -3.65786608600979}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,A5,5,bsa_peg_ProArgGlu_x000010_variation_004,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 0.0, 'Arginine': 0.0, 'Glutamic_acid': 50.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 0.0, 'Arginine': 0.0, 'Glutamic_acid': 113.63636363636364, 'water': -49.11241154055526}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,A6,6,bsa_peg_ProArgGlu_x000208_variation_000,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 0.0, 'Arginine': 0.0, 'Glutamic_acid': 0.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 0.0, 'Arginine': 0.0, 'Glutamic_acid': 0.0, 'water': 64.52395209580838}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,A7,7,bsa_peg_ProArgGlu_x000208_variation_001,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 0.0, 'Arginine': 2.0, 'Glutamic_acid': 8.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 0.0, 'Arginine': 0.3, 'Glutamic_acid': 18.181818181818183, 'water': 46.0421339139902}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,A8,8,bsa_peg_ProArgGlu_x000208_variation_002,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 0.0, 'Arginine': 4.0, 'Glutamic_acid': 16.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 0.0, 'Arginine': 0.6, 'Glutamic_acid': 36.36363636363637, 'water': 27.56031573217203}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,A9,9,bsa_peg_ProArgGlu_x000208_variation_003,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 0.0, 'Arginine': 6.0, 'Glutamic_acid': 24.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 0.0, 'Arginine': 0.9, 'Glutamic_acid': 54.54545454545455, 'water': 9.07849755035383}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,A10,10,bsa_peg_ProArgGlu_x000208_variation_004,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 0.0, 'Arginine': 10.0, 'Glutamic_acid': 40.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 0.0, 'Arginine': 1.5, 'Glutamic_acid': 90.9090909090909, 'water': -27.885138813282538}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,A11,11,bsa_peg_ProArgGlu_x000406_variation_000,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 0.0, 'Arginine': 0.0, 'Glutamic_acid': 0.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 0.0, 'Arginine': 0.0, 'Glutamic_acid': 0.0, 'water': 64.52395209580838}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,A12,12,bsa_peg_ProArgGlu_x000406_variation_001,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 0.0, 'Arginine': 4.0, 'Glutamic_acid': 6.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 0.0, 'Arginine': 0.6, 'Glutamic_acid': 13.636363636363637, 'water': 50.28758845944475}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,B1,13,bsa_peg_ProArgGlu_x000406_variation_002,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 0.0, 'Arginine': 8.0, 'Glutamic_acid': 12.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 0.0, 'Arginine': 1.2, 'Glutamic_acid': 27.272727272727273, 'water': 36.0512248230811}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,B2,14,bsa_peg_ProArgGlu_x000406_variation_003,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 0.0, 'Arginine': 12.0, 'Glutamic_acid': 18.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 0.0, 'Arginine': 1.8, 'Glutamic_acid': 40.90909090909091, 'water': 21.81486118671748}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,B3,15,bsa_peg_ProArgGlu_x000406_variation_004,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 0.0, 'Arginine': 20.0, 'Glutamic_acid': 30.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 0.0, 'Arginine': 3.0, 'Glutamic_acid': 68.18181818181819, 'water': -6.65786608600979}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,B4,16,bsa_peg_ProArgGlu_x000604_variation_000,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 0.0, 'Arginine': 0.0, 'Glutamic_acid': 0.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 0.0, 'Arginine': 0.0, 'Glutamic_acid': 0.0, 'water': 64.52395209580838}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,B5,17,bsa_peg_ProArgGlu_x000604_variation_001,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 0.0, 'Arginine': 6.0, 'Glutamic_acid': 4.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 0.0, 'Arginine': 0.9, 'Glutamic_acid': 9.090909090909092, 'water': 54.533043004899284}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,B6,18,bsa_peg_ProArgGlu_x000604_variation_002,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 0.0, 'Arginine': 12.0, 'Glutamic_acid': 8.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 0.0, 'Arginine': 1.8, 'Glutamic_acid': 18.181818181818183, 'water': 44.5421339139902}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,B7,19,bsa_peg_ProArgGlu_x000604_variation_003,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 0.0, 'Arginine': 18.0, 'Glutamic_acid': 12.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 0.0, 'Arginine': 2.7, 'Glutamic_acid': 27.272727272727273, 'water': 34.5512248230811}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,B8,20,bsa_peg_ProArgGlu_x000604_variation_004,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 0.0, 'Arginine': 30.0, 'Glutamic_acid': 20.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 0.0, 'Arginine': 4.5, 'Glutamic_acid': 45.45454545454545, 'water': 14.56940664126293}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,B9,21,bsa_peg_ProArgGlu_x000802_variation_000,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 0.0, 'Arginine': 0.0, 'Glutamic_acid': 0.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 0.0, 'Arginine': 0.0, 'Glutamic_acid': 0.0, 'water': 64.52395209580838}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,B10,22,bsa_peg_ProArgGlu_x000802_variation_001,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 0.0, 'Arginine': 8.0, 'Glutamic_acid': 2.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 0.0, 'Arginine': 1.2, 'Glutamic_acid': 4.545454545454546, 'water': 58.77849755035383}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
