Chemical,Concentration,Comments
fus,56,g/L
fus_buffer,333.3333333,333mM HEPES 1M NaCl
Bik1,36,g/L
Bik1_buffer,120,20mM Tris 150mM NaCl
BSA,501,g/L
KP_KCl,1000,
water,0,
Proline,1000,
NaHCO3,1000,
NH4OH,1000,
Lysine,1000,
1-6-hexanediol,1000,
Glutamic_acid,66,
Na2SO4,2000,
NaCl,2000,
Glycine,1000,
NaI,500,
NaBr,2000,
Glucose,2000,
Sucrose,2000,
NH4Cl,2000,
CaCl2,2000,
NaF,2000,
KCl,1000,
NaSCN,2000,
NaClO4,2000,
MgCl2,1000,
Na3PO4,1000,
KH2PO4,1000,
Urea,8000,
Citric_acid,2000,
Sodium_lactate,1000,
Phenylalanine,81,
Lactic_acid,2000,
Pyruvic_acid,2000,
Sodium_citrate,1000,
Trisodium_citrate,1000,
Arginine,1000,
PEG,600,g/L
Ethanol,2000,
ATP,100,
ADP,100,
GTP,100,
GDP,100,
Rhodamine,1,%/w/v
FP,0.1,%v/v
Glutamine,100,
Aspartic_acid,40,
UDPAG,50,
Alanine,1000,
Threonine,100,
Serine,1000,
CoA,50,
Glycine,1000,
Glutathione,50,
Phenylpyruvic_acid,50,
UTP,50,
Isoleucine,50,
Lleucine,50,
DHAP,50,
F16BP,50,
DTT,100,
